propertyCode	thumbnail	externalReference	numPhotos	floor	price	propertyType	operation	size	exterior	rooms	bathrooms	address	province	municipality	district	country	neighborhood	latitude	longitude	showAddress	url	distance	description	hasVideo	status	newDevelopment	hasLift	priceByArea	detailedType	suggestedTexts	hasPlan	has3DTour	has360	hasStaging	highlight	topNewDevelopment	topPlus	parkingSpace	labels	newDevelopmentFinished
99798825	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/3a/5a/1085769794.jpg	A2M6231	31		215000.0	chalet	sale	151.0		4	1	Calle Alfonso XIII	Alicante	San Vicente del Raspeig	Centro	es		38.3957444	-0.523146	False	https://www.idealista.com/inmueble/99798825/	6693	PATIO TRASERO DE 174M2 CON ZONA AJARDINADA. Estupenda planta baja para reformar situada en San Vicente del Raspeig próxima a la Plaza de la Constitución. Vivienda de 4 dormitorios, 1 baño, amplia cocina independiente con despensa, lavadero y salón-comedor. Patio trasero de 174m² con zona ajardinada y pozo. Garaje incluido. Puedes visitarla ya, no esperes y podrás ver esta casa. Llámanos. Gestionamos tu hipoteca con excelentes condiciones y resolviendo casos difíciles. Llámanos. Si quieres vender tu casa, nos encargamos de ello, fácil, rápido y seguro. En 3 meses. Este anuncio puede contener errores. La información se muestra a título informativo y meramente comercial, no comprometiendo contractualmente a la inmobiliaria. Azulcasa, expertos inmobiliarios desde 2003.	True	renew	False		1424.0	{'typology': 'chalet', 'subTypology': 'independantHouse'}	{'subtitle': 'Centro, San Vicente del Raspeig', 'title': 'Casa independiente en Calle Alfonso Xiii'}	True	False	True	True	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}		
97025216	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/2a/d4/1087659205.jpg	03207	36	1	645000.0	flat	sale	204.0	True	5	4	Avenida de Federico Soto	Alicante	Alicante / Alacant	Centro	es	Ensanche-Diputación	38.3461176	-0.4910382	False	https://www.idealista.com/inmueble/97025216/	839	¿ESTÁS BUSCANDO UN INMUEBLE AMPLIO, LUMINOSO, BIEN DISTRIBUIDO Y... EN UNA FINCA DE RECIENTE CONSTRUCCIÓN?     Te damos la bienvenida a tu próximo hogar en una de las arterias principales de Alicante. Con más de doscientos metros cuadrados construidos podremos apreciar calidad y mimo en cada uno de los detalles de esta vivienda.    Se concibió como lo que es, una vivienda señorial y con personalidad en la que dispondrás de cinco dormitorios, cuatro de ellos dobles, tres cuartos de baño completos y un aseo de cortesía.  Su amplio salón orientado al Castillo de Santa Bárbara será uno de los fuertes de dicho inmueble puesto que cuenta con unas vistas inigualables. Pero la sorpresa llega al cruzar su amplia cocina perfectamente diseñada para que su funcionalidad sea explotada al máximo. Justo en ese punto, gozaremos de unos patios privados de grandes dimensiones para que puedas disfrutar del aire libre en tu propia casa. Un auténtico privilegio situado en pleno corazón de la ciudad.    La vivienda está acondicionada con las mejores calidades. Radiadores distribuidos por todas las estancias así como termostato en cada una de ellas, aire frío-calor por conductos con máquina instalada, ventanas con doble acristalamiento para garantizar una fantástica insonorización, puerta de acceso blindada y suelos de un precioso mármol color tierra en honor a la Costa Blanca de Alicante y sus espléndidas playas.    Todo un piso de categoría que cumplirá con tus expectativas y que te dejará boquiabierto.  Transporte público en los aledaños, la estación de tren de alta velocidad a escasos minutos andando así como el autobús que te dejará en la puerta de embarque del aeropuerto internacional... Comercios varios, grandes almacenes, farmacias, ofertas educativas interesantes, centros médicos, zonas de paseo, zonas ajardinadas donde disfrutar de un buen café o donde ver jugar tranquilamente a tus hijos... Esta es sin duda una zona exquisita que supondrá un salto de calidad en tu día a día.    En QUO Real Estate podremos ofrecerte un exclusivo asesoramiento en materia legal y contable. Mediante nuestros departamentos contable y jurídico, no habrá duda que quede por resolver y en todo momento sentirás que el proceso de compra está en las mejores manos. Guíate por un equipo de profesionales de amplio recorrido en temas relacionados con la arquitectura, la decoración y el diseño.     Desde QUO Real Estate nos obsesiona el hecho de no dejar detalle alguno a la improvisación.    ¡QUO Real Estate es tu casa y queremos abrirte la puerta de par en par a éste y muchos más proyectos que estarán por llegar! NOTA: Para viviendas en venta, el precio de venta anunciado no incluye IMPUESTO DE TRASMISIONES PATRIMONIALES, NI GASTOS DE NOTARÍA Y REGISTRO.	False	good	False	True	3162.0	{'typology': 'flat'}	{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en Avenida de Federico Soto'}	True	False	True	False	{'groupDescription': 'Top'}	False	False			
102967588	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/fa/93/1173467015.jpg	04199	24	2	325000.0	flat	sale	120.0	True	2	2	Calle Susana Llaneras	Alicante	Alicante / Alacant	Centro	es	Centro Tradicional	38.3460474	-0.4876609	False	https://www.idealista.com/inmueble/102967588/	546	Ubicado en una calle tranquila, en uno de los barrios más tradicionales de la ciudad de Alicante. Desde la entrada principal a mano derecha tenemos la cocina americana amplia y luminosa. A mano derecha nos encontramos con un imponente salón comedor. La zona de noche de la vivienda está compuesta por 2 habitaciones dobles muy amplias y 2 cuartos de baños completos (uno de ellos en suite). Un amplio vestidor con armarios empotrados. Un piso con mucha amplitud y una reforma con estilo y calidez. El barrio se encuentra en pleno corazón de la ciudad, está muy bien comunicado con todos los medios de transporte públicos, metro, autobuses y demás. Tiene todos los servicios muy cerca, como colegios, supermercados, restaurantes o farmacias; y está a escasos metros de la Avenida Alfonso X el Sabio. El barrio cuenta con todas las ventajas de ser una zona céntrica de la ciudad. NOTA: Para viviendas en venta, el precio de venta anunciado no incluye IMPUESTO DE TRASMISIONES PATRIMONIALES, NI GASTOS DE NOTARÍA Y REGISTRO.	False	good	False	True	2708.0	{'typology': 'flat'}	{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en Calle Susana Llaneras'}	True	False	True	False	{'groupDescription': 'Top'}	False	False			
99879276	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/3e/67/1058941131.jpg	2626	32	en	145000.0	flat	sale	116.0	True	3	2	Calle Mediodía	Alicante	Santa Pola	Centro	es		38.1991183	-0.5595584	False	https://www.idealista.com/inmueble/99879276/	17611	Piso de 3 dormitorios y 2 baños, con patio pisable en Santa Pola.  La vivienda está ubicada en un entresuelo de un edificio con ascensor. Alberga 100 metros cuadrados útiles, distribuidos en 3 amplios dormitorios, un gran salón-comedor con ventana a la calle, dos cuartos de baño completos, una cocina independiente de muy buen tamaño y un patio interior pisable, que da acceso al garaje y trastero opcional y a la zona de lavadero.  El dormitorio principal tiene un cuarto de baño en suite (con bañera), además de acceso directo al patio de la casa. El otro cuarto de baño tiene una ducha cerrada con mampara.  El piso tiene acceso directo al garaje privado, que incluye un espacioso trastero donde almacenar todo tipo de enseres. El garaje es opcional, pero merece la pena, ya que aporta calidad de vida, gracias a su fácil acceso directo a la vivienda.  La vivienda se encuentra ubicada en la zona norte de Santa Pola. A pie de calle tienes acceso a todo tipo de servicios, como restaurantes, supermercados, farmacias, tiendas de alimentación, bancos, gimnasios, colegios, etc. La playa se encuentra a un corto paseo desde la vivienda y el centro de la villa está muy cerca también.	False	good	False	False	1250.0	{'typology': 'flat'}	{'subtitle': 'Centro, Santa Pola', 'title': 'Piso en Calle Mediodía'}	True	False	True	False	{'groupDescription': 'Top'}	False	False			
102714206	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/bb/c6/1164844836.jpg	04165	40	7	363000.0	penthouse	sale	158.0	True	3	2	barrio Mercado	Alicante	Alicante / Alacant	Centro	es	Mercado	38.3493735	-0.4918446	False	https://www.idealista.com/inmueble/102714206/	1016	Luminosa vivienda que se encuentra en el corazón de Alicante, situada en una de sus principales avenidas y a un paso de la icónica Plaza de los Luceros. Un piso, que ocupa la última planta del edificio con acceso en ascensor, te ofrece una vida de lujo y comodidad en una ubicación inigualable. Con un generoso espacio de 137m², este piso se divide en una zona de día y una zona de noche, inundadas de luz natural gracias a amplios ventanales con vistas a la Avenida Benito Pérez Galdós y al majestuoso Castillo de Santa Bárbara. La zona de noche incluye 3 acogedores dormitorios. El dormitorio principal ofrece un vestidor independiente y un baño privado con iluminación natural. Un rincón especial de la zona de día se ha reservado como espacio de trabajo, con una mesa de trabajo y librería, perfecto para tus necesidades profesionales o de estudio. La cocina está completamente equipada con electrodomésticos de alta gama de la marca Balay, incluyendo horno, microondas, nevera, lavavajillas, y vitrocerámica. Además, cuenta con un cuarto de lavadero. Esta vivienda ha sido completamente reformada con los más altos estándares de calidad. Las instalaciones eléctricas, de fontanería y de climatización son completamente nuevas. Las ventanas de aluminio con doble acristalamiento garantizan tranquilidad y ahorro energético. Los baños están equipados con sanitarios suspendidos de Roca y grifería de lujo de Hansgrohe. El pavimento de la vivienda es de gres porcelánico italiano de la marca Marazzi, y las puertas son de suelo a techo, ofreciendo un diseño moderno y elegante. NOTA: Para viviendas en venta, el precio de venta anunciado no incluye IMPUESTO DE TRASMISIONES PATRIMONIALES, NI GASTOS DE NOTARÍA Y REGISTRO.	False	good	False	True	2297.0	{'typology': 'flat', 'subTypology': 'penthouse'}	{'subtitle': 'Mercado, Alicante / Alacant', 'title': 'Ático'}	True	False	True	False	{'groupDescription': 'Top'}	False	False			
102321180	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e4/7e/0b/1163253457.jpg	02498	29	2	169000.0	flat	sale	62.0	True	1	1	Plaza Nueva	Alicante	Alicante / Alacant	Centro	es	Centro Tradicional	38.3432282	-0.4861873	False	https://www.idealista.com/inmueble/102321180/	463	Encantador Piso en pleno centro tradicional de Alicante. Su luminosidad y vistas a la floreada Plaza Nueva y al Castillo, hacen de esta vivienda, un romántico sitio donde vivir. Esta situado en la planta segunda del edificio (sin ascensor), se distribuye en Salón-Comedor, Cocina con galería auxiliar, 1 Dormitorio y 1 Baño. La vivienda reformada parcialmente en 2023, se encuentra en buen estado, lista para entrar a vivir. Su ubicación lo hace ser un piso espectacular para personas que les guste vivir en pleno centro de Alicante, a una paseo de la Explanada y la Playa. A su alrededor encontramos todo tipo de comercios y servicios, restaurantes, supermercados, tiendas, centro de salud, etc. , todo lo que necesite a su alcance. Venga a visitarlo y quede maravillado por su ubicación y vistas.  Para la gestión de venta utilizamos métodos profesionales, descubre los procesos llevados a cabo en entraymas. com Te asesoramos y acompañamos en todo el proceso de la compraventa.	False	good	False	False	2726.0	{'typology': 'flat'}	{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en Plaza Nueva'}	True	False	True	True	{'groupDescription': 'Top'}	False	False			
101874530	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/50/af/1179432220.jpg	EXCO290623	94	4	990000.0	flat	sale	204.0	True	4	3	Plaza Paseíto Ramiro, 1	Alicante	Alicante / Alacant	Centro	es	Casco Histórico-Santa Cruz	38.3456063	-0.4787754	True	https://www.idealista.com/inmueble/101874530/	241	Exclusiva vivienda en esquina de 204m2 en primera línea frente a la playa del Postiguet de 4 dormitorios 2 baños y 1 aseo completamente reformado con un diseño único y moderno. Tiene una ubicación inmejorable para ir andando a la playa y a la multitud de oferta de ocio y gastronomía del centro de Alicante. El piso incluye una plaza de garaje grande y mobiliario. Se trata de una vivienda singular por su ubicación, ya que se trata de un edificio protegido de Alicante cuyos pisos inferiores se construyeron en 1928 y los superiores en 1958.  La fachada está protegida por lo que su belleza arquitectónica se ha conservado y sus vistas despejadas del mar en el mismo centro de la ciudad y reformada completamente con materiales de la mayor calidad y mobiliario de diseño, la hacen de un piso único. Al entrar en la propiedad nos encontramos dos habitaciones, una de ellas se usa actualmente como sala de estudio que disfruta de vistas exteriores, pero puede ser un magnífico dormitorio. Después se encuentra la cocina con acceso a la terraza privada donde poder relajarte en la intimidad de tu hogar. El salón-comedor está comunicado y goza de unas vistas privilegiadas del mar para que disfrutes del azul y la calma del mar Mediterráneo en tu nuevo hogar. El resto de la vivienda se distribuye en un dormitorio doble, un baño completo y el dormitorio principal con vestidor y baño en suite que también tiene vistas de la playa. Por último, en el inmueble hay plaza de garaje privada para vehículo grande. Si quiere vivir en uno de los edificios más emblemáticos de Alicante, esta es su oportunidad.  EQUIPAMIENTO La vivienda está dotada con ventanas de doble cristal y persianas automáticas, así como aire acondicionado y calefacción por conductos en toda la casa. Electrodomésticos de máxima calidad y mobiliario de diseño.  Puerta de seguridad y ascensor con acceso directo al garaje. LOCALIZACIÓN Frente a la playa del Postiguet a menos de un minuto andando y junto a la Explanada de España y la plaza Paseíto Ramiro, donde poder disfrutar de una amplia variedad de restaurantes, tiendas y supermercados en el centro histórico de Alicante. El piso está muy bien comunicado, con paradas de tranvía y autobús en la misma calle a menos de dos minutos andando. La estación del AVE está solo a 20 minutos andando y 7 minutos en coche. El Aeropuerto Internacional de Alicante está a 15 minutos en coche.	True	good	False	True	4853.0	{'typology': 'flat'}	{'subtitle': 'Casco Histórico-Santa Cruz, Alicante / Alacant', 'title': 'Piso en Plaza Paseíto Ramiro, 1'}	True	False	True	False	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}	[{'name': 'seaViewsType', 'text': 'Vistas al mar'}]	
102900465	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/12/3c/1171164238.jpg	22665	36	5	269000.0	flat	sale	168.0	True	4	3	Calle Poeta Campos Vasallo, 37	Alicante	Alicante / Alacant	Centro	es	Mercado	38.3488586	-0.4882498	True	https://www.idealista.com/inmueble/102900465/	718	Fantástica vivienda a la venta en centro mercado, salón comedor con salida a terraza, cocina office, cuatro habitaciones, dos cuartos de baño, aseo y plaza de garaje en sótano incluida en el precio.    Te presentamos esta propiedad situada a escasos minutos de Alfonso el Sabio, la vivienda se distribuye de forma eficiente donde tendrás diferenciada la zona de día con la de noche, en ella disfrutarás de un amplio salón comedor con gran cantidad de entrada de luz natural y con salida a una generosa terraza que te dará la posibilidad de disfrutar de placenteros momentos además de tener de fondo las vistas del castillo de Santa Bárbara, sus cuatro habitaciones de buen tamaño te permitirán disponer de espacio suficiente para ubicar a toda la familia e incluso tener una habitación dedicada a sala de juego o despacho. Dos cuartos de baño completos, uno de ellos situado en la habitación principal te dará privacidad y además tendrás un aseo para dar servicio a las visitas, su gran cocina te permitirá tener una zona de office donde podrás realizar las principales comidas del día.    En cuanto a calidades, la vivienda se encuentra en buenas condiciones, aunque seguro que te apetecerá realizar alguna actualización y dejarla según tus gustos y necesidades. Paredes con gotelé fino, suelo de mármol, carpintería en sapeli, cuartos de baño y cocina en buen estado, cerramiento de madera en buenas condiciones.    La situación de esta propiedad te gustará si lo que quieres es estar a escasos pasos del centro de la ciudad, el mercado central a escasos minutos, Alfonso el Sabio, plaza de los Luceros y las principales avenidas las tendrás junto a tu casa al igual que todos los transportes públicos y estación del Ave.    Si buscas una propiedad con muchos metros y buena distribución no lo dudes, visítala porque seguro que te encantará.    *El presente documento tiene carácter meramente informativo, orientativo y no vinculante, por lo que no supone información contractual alguna, siendo su uso estrictamente comercial.	True	renew	False	True	1601.0	{'typology': 'flat'}	{'subtitle': 'Mercado, Alicante / Alacant', 'title': 'Piso en Calle Poeta Campos Vasallo, 37'}	True	False	True	False	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}		
102027937	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/7b/f1/1145150707.jpg	22330	46	4	335000.0	flat	sale	131.0	True	5	2	Avenida de la Estación, 8	Alicante	Alicante / Alacant	Centro	es	Ensanche-Diputación	38.3453477	-0.4929488	True	https://www.idealista.com/inmueble/102027937/	999	Casamayor te presenta en exclusiva, esta fantástica vivienda en plena avenida de la Estación con vistas a los jardines de Diputación, que ocupando la cuarta planta de su prestigiosa finca goza de orientación Este, lo que le proporciona gran luminosidad tanto en su zona de día como en su zona de noche que recae al Oeste.    Estamos ante una vivienda de 131 metros cuadrados según catastro, en los que se distribuyen sus 5 dormitorios, 2 baños y un precioso salón comedor que colinda con su cocina. Cabe destacar que la vivienda cuenta con dos plazas de garaje y dos trasteros en la finca.    Al entrar en la vivienda te recibe un amplio hall que hace a su vez de distribuidor dejando a mano izquierda 3 de sus dormitorios y un baño, para continuar hacia la zona de día donde encontraras un cuarto dormitorio o despacho y a continuación su cocina que colindado con el salón comedor ofrece la posibilidad de hacer una preciosa reforma para actualizar la vivienda. El dormitorio principal de gran superficie cuenta con baño en suite y recae sobre la fachada principal de la finca con vistas a los jardines del Edificio de Diputación, lo que le aporta tanto a salón como a esta pieza principal gran amplitud visual y mucha luminosidad.    La vivienda necesita realizar una reforma integral, lo que te ofrece la oportunidad de crear tu hogar adaptándolo a tu estilo y necesidades. Cuenta con una distribución que permite llevar a cabo varias opciones interesantes de redistribución de espacios que optimizarían la superficie del inmueble.    Su ubicación es sin duda una de sus características a destacar, pues son pocas las viviendas que gozan de este privilegio, en pleno centro de la ciudad, con dos plazas de garaje, en una finca con un excelente servicio de portería y todos los servicios que los amantes de la cuidad valoran, Como las principales entidades Bancarias en la misma avenida, las paradas principales del Tranvía en plaza de los Luceros a 170 metros del portal, las más emblemáticas cafeterías y restaurantes a pocos metros, paradas de autobús de diferentes líneas, la estación central de Renfe a 180 metros o el puerto a 600 metros, teniendo a tan solo 1.700 metros la Playa del Postiguet. Hoy en día es la zona más viva de la ciudad, donde junto con la Avenida Alfonso el Sabio que finaliza en el Mercado Central, abarcan todo tipo de comercios especializado que puedas necesitar en tu día a día.    Son muchas las características que tiene esta magnífica vivienda las que hacen que tenga un potencial altamente considerable para tu selección, por lo que ponemos a tu disposición a nuestro gran equipo de profesionales especializados en la zona para ampliarte la información que precises y mostrarte la vivienda lo antes posible.    *El presente documento tiene carácter meramente informativo, orientativo y no vinculante, por lo que no supone información contractual alguna, siendo su uso estrictamente comercial*.	False	renew	False	True	2557.0	{'typology': 'flat'}	{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en Avenida de la Estación, 8'}	True	False	True	False	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}		
100439212	https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/1f/9b/1086340294.jpg	21921	26	5	258000.0	flat	sale	124.0	True	4	2	Calle Pintor Cabrera, 15	Alicante	Alicante / Alacant	Centro	es	Ensanche-Diputación	38.3444318	-0.4917514	True	https://www.idealista.com/inmueble/100439212/	898	Céntrica vivienda a la venta, salón comedor, cuatro habitaciones, cocina, baño y aseo, dispone de una pequeña terraza, trastero en azotea y plaza de garaje opcional.    Te presentamos esta magnífica vivienda, situada en una céntrica calle, en ella disfrutarás de un amplio espacio para poder desarrollar tu futura vivienda, actualmente cuenta con un gran salón comedor, cuatro habitaciones de gran tamaño, la principal tiene salida a una pequeña terraza, cocina, un cuarto de baño y un aseo, además tendrás para tu comodidad un trastero en la azotea del edificio, dispone opcionalmente de una plaza de garaje situada en la calle Tucumán.    Esta propiedad de techos altos está situada en un edificio de 1.959, recientemente se ha actualizado su entrada y el ascensor lo que le confiere una gran calidez nada más entrar. Esta propiedad tiene muchas posibilidades para reorganizar su actual distribución y poder sacar el máximo provecho.    La ubicación es inmejorable, el edificio se encuentra en el centro neurálgico de la ciudad, rodeado de todos los servicios, centros comerciales, locales de restauración y transportes urbanos. Estarás al lado de la conocida Plaza de los Luceros y los paseos de Federico Soto y Doctor Gadea y General Marvá donde podrás disfrutar los días soleados con tu familia. Tendrás el privilegio de estar a un paso de Canalejas o de la avenida Maisonnave.    No dudes en visitar esta propiedad, seguro que cumple con todas tus expectativas.    *El presente documento tiene carácter meramente informativo, orientativo y no vinculante, por lo que no supone información contractual alguna, siendo su uso estrictamente comercial.	True	good	False	True	2081.0	{'typology': 'flat'}	{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en Calle Pintor Cabrera, 15'}	True	False	True	False	{'groupDescription': 'Top'}	False	False	{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 25000.0}		
