Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	2570.55	0.20192	1.8451	11.854
2023-10-01	2565.37	0.0854407	4.14574	12.829
2023-09-01	2563.18	1.5531	5.30169	13.8468
2023-08-01	2523.98	2.46544	4.22778	15.7173
2023-07-01	2463.25	1.19632	2.55167	17.1476
2023-06-01	2434.13	0.517426	3.50028	18.211
2023-05-01	2421.6	0.817666	3.45535	18.3728
2023-04-01	2401.96	2.1324	3.56311	19.0209
2023-03-01	2351.81	0.473786	1.96887	16.2737
2023-02-01	2340.72	0.922684	1.85325	16.1273
2023-01-01	2319.32	0.56018	2.00732	15.8328
2022-12-01	2306.4	0.359858	2.44156	15.2267
2022-11-01	2298.13	1.07535	5.36274	14.8009
2022-10-01	2273.68	0.988261	8.13196	13.6147
2022-09-01	2251.43	3.22168	9.33836	12.5844
2022-08-01	2181.16	3.73189	6.61961	9.14586
2022-07-01	2102.69	2.11496	4.19157	5.14449
2022-06-01	2059.14	0.65502	1.80407	3.83492
2022-05-01	2045.74	1.36961	1.49282	3.45919
2022-04-01	2018.1	-0.224952	0.789093	2.64901
2022-03-01	2022.65	0.347283	1.05065	2.69396
2022-02-01	2015.65	0.666733	0.689865	2.63506
2022-01-01	2002.3	0.0339725	0.0539671	3.21772
2021-12-01	2001.62	-0.0109899	0.0925106	3.22524
2021-11-01	2001.84	0.0309811	0.172639	4.04412
2021-10-01	2001.22	0.0725083	0.0705067	3.19663
2021-09-01	1999.77	0.0690556	0.841112	2.72932
2021-08-01	1998.39	-0.0710067	1.06456	1.99718
2021-07-01	1999.81	0.843129	1.7187	0.976536
2021-06-01	1983.09	0.290795	0.685422	-1.15538
2021-05-01	1977.34	0.575783	0.684353	-1.59991
2021-04-01	1966.02	-0.181256	1.34751	-1.49855
2021-03-01	1969.59	0.28973	1.57343	-1.4594
2021-02-01	1963.9	1.23822	2.07221	-1.76374
2021-01-01	1939.88	0.0412567	0.0335185	-2.87488
2020-12-01	1939.08	0.782212	-0.388361	-1.99143
2020-11-01	1924.03	-0.783816	-1.79813	-2.03713
2020-10-01	1939.23	-0.380656	-2.08233	-1.68669
2020-09-01	1946.64	-0.644121	-2.97218	-1.4594
2020-08-01	1959.26	-1.07096	-2.49964	-0.810522
2020-07-01	1980.47	-1.28597	-0.774576	0.153735
2020-06-01	2006.27	-0.16024	0.375733	2.54121
2020-05-01	2009.49	0.679383	0.516717	2.74937
2020-04-01	1995.93	-0.141588	-0.0685926	1.65682
2020-03-01	1998.76	-0.0200084	1.02503	1.91619
2020-02-01	1999.16	0.0931257	1.78815	1.49617
2020-01-01	1997.3	0.951235	1.25729	2.0984
2019-12-01	1978.48	0.735219	0.152369	0.692667
2019-11-01	1964.04	-0.428897	-0.56853	0.0173143
2019-10-01	1972.5	-0.150344	-0.249314	1.23587
2019-09-01	1975.47	0.0101252	0.967008	2.41805
2019-08-01	1975.27	-0.109233	0.999632	2.02156
2019-07-01	1977.43	1.06718	0.714577	2.97291
2019-06-01	1956.55	0.0424396	-0.236082	3.40135
2019-05-01	1955.72	-0.391158	-0.709249	4.94875
2019-04-01	1963.4	0.113197	0.365495	4.93461
2019-03-01	1961.18	-0.432048	-0.187799	6.42045
2019-02-01	1969.69	0.687029	0.305036	7.37926
2019-01-01	1956.25	-0.438706	0.401864	8.36629
2018-12-01	1964.87	0.0595814	1.86849	11.7152
2018-11-01	1963.7	0.784225	1.42397	12.0104
2018-10-01	1948.42	1.01564	1.46224	11.3892
2018-09-01	1928.83	-0.377041	1.93638	10.9811
2018-08-01	1936.13	0.82225	3.8975	12.9927
2018-07-01	1920.34	1.48769	2.63325	12.928
2018-06-01	1892.19	1.53958	2.67682	12.3795
2018-05-01	1863.5	-0.404581	1.59023	10.8428
2018-04-01	1871.07	1.53077	3.64775	11.2262
2018-03-01	1842.86	0.46502	4.7782	6.95026
2018-02-01	1834.33	1.61255	4.63112	6.10546
2018-01-01	1805.22	2.63813	3.20261	6.99058
2017-12-01	1758.82	0.32399	1.19909	4.72658
2017-11-01	1753.14	0.225246	2.31339	4.15023
2017-10-01	1749.2	0.645577	2.86386	3.12767
2017-09-01	1737.98	1.42865	3.22079	1.80236
2017-08-01	1713.5	0.764481	1.92064	0.705852
2017-07-01	1700.5	0.994803	1.08666	-0.978856
2017-06-01	1683.75	0.151082	-2.28367	-2.00501
2017-05-01	1681.21	-0.0600397	-2.75165	-1.30732
2017-04-01	1682.22	-2.37247	-0.2993	-0.817178
2017-03-01	1723.1	-0.328555	2.59968	1.74666
2017-02-01	1728.78	2.46019	2.70306	3.4411
2017-01-01	1687.27	0.466227	-0.523539	1.04139
2016-12-01	1679.44	-0.228126	-1.62663	1.28702
2016-11-01	1683.28	-0.758777	-1.07024	0.944511
2016-10-01	1696.15	-0.647841	-1.23216	0.991968
2016-09-01	1707.21	0.336176	-0.639623	0.968755
2016-08-01	1701.49	-0.921208	-0.11682	0.685244
2016-07-01	1717.31	-0.0517984	1.25171	2.37073
2016-06-01	1718.2	0.864113	1.45732	2.81543
2016-05-01	1703.48	0.4363	1.92728	2.71085
2016-04-01	1696.08	0.151164	1.56897	1.56958
2016-03-01	1693.52	1.33132	2.13618	0.972448
2016-02-01	1671.27	0.0832395	0.224284	0.0658616
2016-01-01	1669.88	0.710452	-0.572197	-0.246117
2015-12-01	1658.1	-0.565507	-1.93574	-1.3658
2015-11-01	1667.53	-0.712121	-1.32433	0.865584
2015-10-01	1679.49	-0.670677	0.116242	0.671346
2015-09-01	1690.83	0.0544408	1.17763	0.603324
2015-08-01	1689.91	0.737389	1.89265	1.95412
2015-07-01	1677.54	0.382371	0.459317	1.40789
2015-06-01	1671.15	0.761522	-0.361314	-1.78487
2015-05-01	1658.52	-0.679694	-0.697534	-3.87787
2015-04-01	1669.87	-0.437632	-0.246714	-2.81679
2015-03-01	1677.21	0.421514	-0.229022	-3.52934
2015-02-01	1670.17	-0.228793	1.02527	-1.9462
2015-01-01	1674	-0.419973	0.342267	-1.81242
2014-12-01	1681.06	1.68399	0.0220148	0.418745
