Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	1436.19	0.766878	3.88505	19.7264
2023-10-01	1425.26	-1.49016	4.24359	18.6165
2023-09-01	1446.82	4.65395	6.18005	21.2148
2023-08-01	1382.48	1.11465	2.78891	6.2833
2023-07-01	1367.24	0.339789	4.52586	4.55303
2023-06-01	1362.61	1.31155	6.9284	3.25854
2023-05-01	1344.97	2.82331	7.76571	-10.1982
2023-04-01	1308.04	2.64612	6.01203	-9.77603
2023-03-01	1274.32	2.10488	5.34095	-15.2121
2023-02-01	1248.05	1.15005	4.04232	-16.8294
2023-01-01	1233.86	1.99635	2.68732	-15.3986
2022-12-01	1209.71	0.846144	1.3497	-14.9553
2022-11-01	1199.56	-0.167281	-7.77936	1.00112
2022-10-01	1201.57	0.667728	-8.11578	-1.12651
2022-09-01	1193.6	-8.23756	-9.54903	2.76721
2022-08-01	1300.75	-0.531467	-13.1507	10.0773
2022-07-01	1307.7	-0.902539	-9.79949	6.98858
2022-06-01	1319.61	-11.8915	-12.1987	7.10946
2022-05-01	1497.71	3.30673	-0.191925	20.9381
2022-04-01	1449.77	-3.53837	-0.594471	18.0277
2022-03-01	1502.95	0.157271	5.65999	19.4847
2022-02-01	1500.59	2.89007	26.3474	19.7846
2022-01-01	1458.44	2.53086	20.0105	23.2228
2021-12-01	1422.44	19.7673	22.47	22.057
2021-11-01	1187.67	-2.2703	0.507756	0.099453
2021-10-01	1215.26	4.6321	-0.574336	0.772841
2021-09-01	1161.46	-1.71029	-5.72718	-4.06865
2021-08-01	1181.67	-3.32248	-4.58168	1.52676
2021-07-01	1222.28	-0.790572	-0.492539	3.605
2021-06-01	1232.02	-0.515984	-2.05428	2.16093
2021-05-01	1238.41	0.820626	-1.14389	2.81784
2021-04-01	1228.33	-2.34764	3.7809	1.50565
2021-03-01	1257.86	0.408704	7.93468	4.52204
2021-02-01	1252.74	5.84329	5.5837	4.33761
2021-01-01	1183.58	1.56085	-1.85416	-3.82559
2020-12-01	1165.39	-1.77835	-3.74405	-6.64782
2020-11-01	1186.49	-1.61285	1.94089	-2.5182
2020-10-01	1205.94	-0.394806	2.21996	5.48534
2020-09-01	1210.72	4.02268	0.394706	5.70004
2020-08-01	1163.9	-1.34351	-3.36829	3.02735
2020-07-01	1179.75	-2.17337	-2.50886	2.90193
2020-06-01	1205.96	0.123706	0.2094	4.03561
2020-05-01	1204.47	-0.466073	0.317325	-0.0821263
2020-04-01	1210.11	0.554245	-1.66984	-0.554706
2020-03-01	1203.44	0.231539	-3.59987	0.0706808
2020-02-01	1200.66	-2.43772	-1.35399	-0.0798921
2020-01-01	1230.66	-1.41944	7.64763	2.8232
2019-12-01	1248.38	2.56667	8.98789	1.49018
2019-11-01	1217.14	6.46502	7.74011	-1.14198
2019-10-01	1143.23	-0.192068	-0.283476	-8.17282
2019-09-01	1145.43	1.39241	-1.18618	-5.9836
2019-08-01	1129.7	-1.46361	-6.28474	-5.82616
2019-07-01	1146.48	-1.0956	-5.78374	-6.18464
2019-06-01	1159.18	-3.8392	-3.60971	-2.66435
2019-05-01	1205.46	-0.936837	0.319569	1.73173
2019-04-01	1216.86	1.18661	1.67019	3.78691
2019-03-01	1202.59	0.0807244	-2.23243	0.983306
2019-02-01	1201.62	0.396868	-2.40253	7.5381
2019-01-01	1196.87	-2.69745	-3.86432	5.75018
2018-12-01	1230.05	-0.0934048	0.961973	7.57263
2018-11-01	1231.2	-1.10685	2.63507	6.61679
2018-10-01	1244.98	2.18742	1.87552	8.37882
2018-09-01	1218.33	1.5622	2.30244	6.69603
2018-08-01	1199.59	-1.8387	1.23635	4.38751
2018-07-01	1222.06	2.61565	4.23042	5.25926
2018-06-01	1190.91	0.503823	0.00251915	5.04909
2018-05-01	1184.94	1.06443	6.04534	4.51418
2018-04-01	1172.46	-1.54676	3.59342	3.15956
2018-03-01	1190.88	6.57693	4.14706	4.58609
2018-02-01	1117.39	-1.27232	-3.23868	-1.00642
2018-01-01	1131.79	-1.02059	-1.47467	-1.63138
2017-12-01	1143.46	-0.981131	0.139245	-1.77304
2017-11-01	1154.79	0.527539	0.489049	-2.90661
2017-10-01	1148.73	0.600769	-1.05685	-2.96413
2017-09-01	1141.87	-0.635241	0.723315	-3.0399
2017-08-01	1149.17	-1.01895	1.35919	-4.84246
2017-07-01	1161	2.41075	2.15125	-3.76406
2017-06-01	1133.67	-0.00793819	-0.438234	-9.34411
2017-05-01	1133.76	-0.24548	0.443854	-10.6833
2017-04-01	1136.55	-0.185306	-1.21767	-10.6134
2017-03-01	1138.66	0.877962	-2.18538	-8.89262
2017-02-01	1128.75	-1.8956	-5.09602	-7.28115
2017-01-01	1150.56	-1.16313	-2.80955	-5.42358
2016-12-01	1164.1	-2.12383	-1.15228	-3.4943
2016-11-01	1189.36	0.467977	-1.51451	-1.58297
2016-10-01	1183.82	0.522218	-1.8725	-2.4635
2016-09-01	1177.67	-2.48251	-5.82558	-2.91021
2016-08-01	1207.65	0.102784	-4.86225	0.956354
2016-07-01	1206.41	-3.52733	-5.11915	1.28877
2016-06-01	1250.52	-1.48499	0.0576092	0.978682
2016-05-01	1269.37	-0.167519	4.26979	-0.500098
2016-04-01	1271.5	1.73628	4.51773	-1.39283
2016-03-01	1249.8	2.66225	3.61036	-4.45685
2016-02-01	1217.39	0.0698703	0.736456	-4.95081
2016-01-01	1216.54	0.853057	0.232344	-5.50632
2015-12-01	1206.25	-0.185355	-0.554012	-3.96557
2015-11-01	1208.49	-0.430907	1.02658	-2.03233
2015-10-01	1213.72	0.0618317	1.90251	-2.60945
2015-09-01	1212.97	1.40109	-2.05346	-2.33421
2015-08-01	1196.21	0.432388	-6.23476	-5.11014
2015-07-01	1191.06	-3.82267	-7.6311	-5.31964
2015-06-01	1238.4	-2.92769	-5.32834	-2.89344
2015-05-01	1275.75	-1.06324	-0.394285	-2.00785
2015-04-01	1289.46	-1.42497	0.157678	-1.37822
2015-03-01	1308.1	2.13148	4.14311	0.928969
2015-02-01	1280.8	-0.514979	3.82957	-3.3898
2015-01-01	1287.43	2.49749	3.30514	-0.957019
2014-12-01	1256.06	1.82399	1.1353	-2.87795
2014-11-01	1233.56	-1.01746	-2.14734	-3.24792
2014-10-01	1246.24	0.344617	-0.933242	1.34669
2014-09-01	1241.96	-1.48101	-2.61429	0.699732
2014-08-01	1260.63	0.210655	-3.16924	3.42528
2014-07-01	1257.98	-1.35811	-3.78591	3.35626
2014-06-01	1275.3	-2.04242	-1.60178	3.70822
2014-05-01	1301.89	-0.42754	-1.799	2.66381
2014-04-01	1307.48	0.881132	0.585443	5.08178
2014-03-01	1296.06	-2.23875	0.214957	8.35535
2014-02-01	1325.74	1.9902	3.98205	6.24108
2014-01-01	1299.87	0.509557	5.70799	3.75884
2013-12-01	1293.28	1.43611	4.86082	3.43096
2013-11-01	1274.97	3.68307	4.60177	-1.36697
2013-10-01	1229.68	-0.295947	1.03111	-4.80437
2013-09-01	1233.33	1.18551	0.295194	-7.00832
2013-08-01	1218.88	0.143781	-3.88216	-7.61861
2013-07-01	1217.13	-1.0222	-2.17963	-14.5928
2013-06-01	1229.7	-3.02892	2.80741	-13.6707
2013-05-01	1268.11	1.91762	1.62278	-13.7205
2013-04-01	1244.25	4.02384	-0.680886	-14.176
2013-03-01	1196.12	-4.1463	-4.33948	-20.719
2013-02-01	1247.86	-0.392727	-3.46423	-17.2803
2013-01-01	1252.78	0.191942	-3.01609	-19.7512
2012-12-01	1250.38	-3.26928	-5.72277	-14.3704
