Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	803.623	-2.81015	-0.905463	4.55278
2023-10-01	826.859	1.569	3.10734	7.1612
2023-09-01	814.086	0.384726	0.607287	5.66946
2023-08-01	810.966	1.12552	0.0607052	7.05228
2023-07-01	801.94	-0.893753	1.9201	8.5898
2023-06-01	809.172	-0.160647	8.3863	12.6201
2023-05-01	810.474	3.00471	9.14152	17.1046
2023-04-01	786.832	5.39392	8.5612	14.0176
2023-03-01	746.563	0.535019	1.45504	8.91082
2023-02-01	742.59	2.45701	-3.38772	7.78748
2023-01-01	724.782	-1.50491	-6.06802	7.10521
2022-12-01	735.856	-4.26383	-4.4849	7.16235
2022-11-01	768.629	-0.385431	1.46355	11.9574
2022-10-01	771.603	0.155113	4.4819	14.4368
2022-09-01	770.408	1.69839	7.22494	14.8238
2022-08-01	757.542	2.57791	9.45652	13.1386
2022-07-01	738.504	2.78456	7.01452	11.2957
2022-06-01	718.497	3.81494	4.81647	10.318
2022-05-01	692.094	0.28938	0.457951	7.27362
2022-04-01	690.097	0.673396	1.9796	7.48136
2022-03-01	685.481	-0.501931	-0.173736	8.54823
2022-02-01	688.939	1.80848	0.349872	9.96457
2022-01-01	676.701	-1.45236	0.361878	6.6931
2021-12-01	686.674	0.0199552	2.34385	11.2954
2021-11-01	686.537	1.82066	2.53401	12.1772
2021-10-01	674.261	0.493779	1.61404	12.0299
2021-09-01	670.948	0.205804	3.01737	12.7998
2021-08-01	669.57	0.907089	3.78243	14.9167
2021-07-01	663.551	1.88163	3.34687	13.5992
2021-06-01	651.296	0.949987	3.13492	11.0545
2021-05-01	645.167	0.483598	2.97793	8.36513
2021-04-01	642.062	1.67269	1.23169	6.97539
2021-03-01	631.499	0.796316	2.35274	7.33627
2021-02-01	626.51	-1.22034	2.36908	7.93838
2021-01-01	634.25	2.79862	5.382	9.11321
2020-12-01	616.983	0.812404	3.72722	5.85096
2020-11-01	612.011	1.68694	5.03796	6.8718
2020-10-01	601.858	1.18441	3.03741	6.87443
2020-09-01	594.813	2.0863	1.42344	9.96219
2020-08-01	582.657	-0.249779	-2.13432	8.24563
2020-07-01	584.116	-0.400535	-2.67912	7.57736
2020-06-01	586.465	-1.49472	-0.318185	7.64223
2020-05-01	595.364	-0.80507	2.57239	9.4395
2020-04-01	600.196	2.01568	3.25473	10.0924
2020-03-01	588.337	1.36174	0.936386	8.98419
2020-02-01	580.433	-0.145198	1.35753	6.71215
2020-01-01	581.277	-0.274843	3.21977	8.85092
2019-12-01	582.879	1.78466	7.75597	9.51617
2019-11-01	572.659	1.68944	6.38821	5.44963
2019-10-01	563.145	4.10778	3.7151	4.37851
2019-09-01	540.925	0.492687	-0.716373	-0.433478
2019-08-01	538.273	-0.865605	-1.05494	-1.80887
2019-07-01	542.973	-0.340474	-0.403907	0.220755
2019-06-01	544.828	0.149997	0.924538	3.2317
2019-05-01	544.012	-0.213326	0.0161787	4.25501
2019-04-01	545.175	0.988817	2.0904	6.90859
2019-03-01	539.837	-0.751392	1.42908	6.82353
