Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	1682.16	1.33494	6.18624	14.5893
2023-10-01	1660	1.78554	6.31348	15.8554
2023-09-01	1630.88	2.9492	4.89661	16.062
2023-08-01	1584.16	1.45637	1.42129	15.4694
2023-07-01	1561.42	0.429008	2.52602	12.5388
2023-06-01	1554.75	-0.4616	5.05848	12.0436
2023-05-01	1561.96	2.56148	5.47655	13.0127
2023-04-01	1522.95	2.90968	2.32403	13.6572
2023-03-01	1479.89	-0.0655025	0.0831834	12.5161
2023-02-01	1480.86	-0.50391	0.876709	14.3839
2023-01-01	1488.36	0.655999	3.87627	16.5613
2022-12-01	1478.66	0.726844	5.22922	16.7701
2022-11-01	1467.99	2.4546	7.00181	15.3872
2022-10-01	1432.82	1.96701	3.27003	11.6582
2022-09-01	1405.18	2.42359	1.26475	8.75249
2022-08-01	1371.93	-1.1186	-0.736555	6.80571
2022-07-01	1387.45	-0.0129718	3.54491	8.74796
2022-06-01	1387.63	0.399389	5.50153	10.4019
2022-05-01	1382.11	3.14639	6.75632	9.34155
2022-04-01	1339.95	1.87642	4.93856	5.59934
2022-03-01	1315.27	1.59349	3.86717	4.27727
2022-02-01	1294.64	1.3901	1.76147	3.6508
2022-01-01	1276.89	0.836295	-0.49329	2.05323
2021-12-01	1266.3	-0.466111	-1.99599	-0.0615589
2021-11-01	1272.23	-0.856439	-0.956007	-0.959862
2021-10-01	1283.22	-0.686485	0.578442	-0.446093
2021-09-01	1292.09	0.590108	2.80056	-0.390854
2021-08-01	1284.51	0.679552	1.62021	-1.0248
2021-07-01	1275.84	1.50769	0.54693	-3.34619
2021-06-01	1256.89	-0.56486	-0.351219	-7.16317
2021-05-01	1264.03	-0.383797	1.20012	-5.97743
2021-04-01	1268.9	0.600958	1.41464	-3.65005
2021-03-01	1261.32	0.983155	-0.454589	-3.34861
2021-02-01	1249.04	-0.172634	-2.76515	-4.39362
2021-01-01	1251.2	-1.25328	-2.93025	-4.55194
2020-12-01	1267.08	-1.36078	-2.31891	-2.84544
2020-11-01	1284.56	-0.342134	-1.02095	-1.53459
2020-10-01	1288.97	-0.631379	-2.3515	-0.609925
2020-09-01	1297.16	-0.0500844	-4.18873	0.114998
2020-08-01	1297.81	-1.68181	-3.46477	1.25771
2020-07-01	1320.01	-2.50098	0.230833	4.18061
2020-06-01	1353.87	0.705153	3.74324	8.31567
2020-05-01	1344.39	2.08205	2.90484	10.2691
2020-04-01	1316.97	0.915695	0.46534	7.56747
2020-03-01	1305.02	-0.108692	0.063641	6.63148
2020-02-01	1306.44	-0.337943	0.142575	6.23018
2020-01-01	1310.87	0.512195	1.07874	7.29885
2019-12-01	1304.19	-0.0298947	0.657575	9.19938
2019-11-01	1304.58	0.593733	1.78592	9.96864
2019-10-01	1296.88	0.093388	2.3551	10.5346
2019-09-01	1295.67	1.09075	3.6594	12.4821
2019-08-01	1281.69	1.15624	5.12635	12.6483
2019-07-01	1267.04	1.36888	3.48928	13.6155
2019-06-01	1249.93	2.52135	2.13015	12.9227
2019-05-01	1219.19	-0.419008	-0.864354	11.1457
2019-04-01	1224.32	0.037586	0.214455	12.0167
2019-03-01	1223.86	-0.484624	2.47337	12.8231
2019-02-01	1229.82	0.664648	3.6668	13.2806
2019-01-01	1221.7	2.29252	4.12689	12.928
2018-12-01	1194.32	0.674354	3.68351	10.104
2018-11-01	1186.32	1.11141	4.2662	10.176
2018-10-01	1173.28	1.85695	5.20803	9.12101
2018-09-01	1151.89	1.24013	4.06544	5.58886
2018-08-01	1137.78	2.02475	3.72403	4.55615
2018-07-01	1115.2	0.750752	2.03297	3.8081
2018-06-01	1106.89	0.907989	2.04008	3.29031
2018-05-01	1096.93	0.361397	1.03994	2.20638
2018-04-01	1092.98	0.757771	1.02973	1.78239
2018-03-01	1084.76	-0.0810582	0.00368759	0.660703
2018-02-01	1085.64	0.351253	0.825633	2.15577
2018-01-01	1081.84	-0.265506	0.616624	3.07165
2017-12-01	1084.72	0.74019	-0.568328	3.35687
2017-11-01	1076.75	0.143228	-1.0522	1.24208
2017-10-01	1075.21	-1.44007	0.085638	1.4196
2017-09-01	1090.92	0.249954	1.80006	4.58541
2017-08-01	1088.2	1.29481	1.39297	4.30865
2017-07-01	1074.29	0.24822	0.0419057	2.04898
2017-06-01	1071.63	-0.150943	-0.5577	0.5074
2017-05-01	1073.25	-0.054943	0.989903	1.48168
2017-04-01	1073.84	-0.352622	2.30945	1.96168
2017-03-01	1077.64	1.40299	2.68226	-0.150103
2017-02-01	1062.73	1.25095	-0.0761607	-2.02725
2017-01-01	1049.6	0.0104813	-0.996076	-3.63216
2016-12-01	1049.49	-1.32106	0.613562	-2.68804
2016-11-01	1063.54	0.31882	1.94488	-4.13377
2016-10-01	1060.16	1.63648	0.706741	-5.65705
2016-09-01	1043.09	-0.0153367	-2.16935	-8.58668
2016-08-01	1043.25	-0.899574	-1.35498	-8.40006
2016-07-01	1052.72	-1.26616	-0.0436772	-7.29426
2016-06-01	1066.22	0.81696	-1.20824	-6.8299
2016-05-01	1057.58	0.417782	-2.50203	-7.36958
2016-04-01	1053.18	-2.41647	-3.30346	-8.14036
2016-03-01	1079.26	-0.503356	0.072324	-7.59523
2016-02-01	1084.72	-0.407654	-2.22463	-5.90807
2016-01-01	1089.16	0.990283	-3.07636	-5.7983
2015-12-01	1078.48	-2.78709	-5.4852	-6.31851
2015-11-01	1109.4	-1.27522	-2.59193	-0.397727
2015-10-01	1123.73	-1.51963	-1.04091	-0.841812
2015-09-01	1141.07	0.188775	-0.28924	-1.00292
2015-08-01	1138.92	0.296772	-0.245244	-1.73677
2015-07-01	1135.55	-0.771597	-0.955945	-3.85413
2015-06-01	1144.38	0.232982	-2.01974	-4.58093
2015-05-01	1141.72	-0.41779	-0.963715	-6.65435
2015-04-01	1146.51	-1.83738	-0.83809	-6.05842
2015-03-01	1167.97	1.31329	1.45498	-5.25569
2015-02-01	1152.83	-0.291472	3.50143	-6.40259
2015-01-01	1156.2	0.432585	2.02335	-6.7979
2014-12-01	1151.22	3.35689	-0.122329	-9.7139
2014-11-01	1113.83	-1.71539	-3.90147	-13.5333
2014-10-01	1133.27	-1.67964	-4.04718	-11.3379
2014-09-01	1152.63	-0.553902	-3.89304	-11.0556
2014-08-01	1159.05	-1.86441	-5.23747	-10.4337
2014-07-01	1181.07	-1.5217	-3.22668	-8.73567
2014-06-01	1199.32	-1.94504	-2.71261	-7.82119
2014-05-01	1223.11	0.217952	-0.696604	-6.70333
2014-04-01	1220.45	-0.998572	-1.61866	-7.55567
2014-03-01	1232.76	0.0868725	-3.31901	-7.00011
2014-02-01	1231.69	-0.712599	-4.38377	-9.28782
2014-01-01	1240.53	-2.70963	-2.94635	-8.61456
2013-12-01	1275.08	-1.0154	-1.60661	-9.55468
2013-11-01	1288.16	0.780009	-0.456699	-8.7337
2013-10-01	1278.19	-1.36662	-1.23095	-10.3452
2013-09-01	1295.9	0.141414	-0.398131	-11.0448
2013-08-01	1294.07	-0.00386363	-1.29063	-13.6671
2013-07-01	1294.12	-0.53494	-1.97546	-14.0479
2013-06-01	1301.08	-0.755917	-1.84603	-13.7718
2013-05-01	1310.99	-0.697622	-3.44749	-14.2965
2013-04-01	1320.2	-0.403606	-2.74555	-15.7934
2013-03-01	1325.55	-2.37517	-5.97469	-15.8317
2013-02-01	1357.8	0.0243099	-3.79969	-14.779
2013-01-01	1357.47	-3.71051	-4.78438	-14.0401
2012-12-01	1409.78	-0.116903	-3.22762	-8.39279
2012-11-01	1411.43	-0.999523	-5.8375	-10.0289
2012-10-01	1425.68	-2.13619	-5.31007	-10.8471
2012-09-01	1456.8	-2.81067	-3.45157	-4.79738
2012-08-01	1498.93	-0.444996	-2.01022	-1.21852
2012-07-01	1505.63	-0.215392	-3.96604	-0.795282
2012-06-01	1508.88	-1.35976	-4.1908	-2.02523
2012-05-01	1529.68	-2.43205	-3.99116	-1.73004
2012-04-01	1567.81	-0.448923	-0.720623	0.346904
2012-03-01	1574.88	-1.15423	2.33537	0.83685
2012-02-01	1593.27	0.891596	1.56238	5.15801
2012-01-01	1579.19	2.61544	-1.24755	3.82714
2011-12-01	1538.94	-1.90086	0.57051	-0.78268
2011-11-01	1568.76	-1.89977	3.38337	0.78378
2011-10-01	1599.14	4.50461	5.36601	2.04845
2011-09-01	1530.21	0.842878	-0.640231	-1.09236
2011-08-01	1517.42	-0.018449	-2.51765	0.325289
2011-07-01	1517.7	-1.45253	-2.86036	1.16988
2011-06-01	1540.07	-1.06257	-1.39197	-0.884278
2011-05-01	1556.61	-0.369946	2.7384	-0.0333948
2011-04-01	1562.39	0.0371364	2.72259	0.279197
2011-03-01	1561.81	3.0816	0.691776	3.23832
2011-02-01	1515.12	-0.385278	-2.66228	-0.427176
2011-01-01	1520.98	-1.94058	-2.9393	-0.114269
2010-12-01	1551.08	-0.352058	0.256607	2.05682
2010-11-01	1556.56	-0.668777	2.91306	3.25097
2010-10-01	1567.04	1.28821	4.45889	3.56281
2010-09-01	1547.11	2.28826	-0.431198	2.44812
2010-08-01	1512.5	0.823251	-2.86617	-2.80687
2010-07-01	1500.15	-3.45345	-3.71557	-4.13887
2010-06-01	1553.81	-0.213213	2.70951	-3.76442
2010-05-01	1557.13	-0.0584067	2.3337	-0.634939
2010-04-01	1558.04	2.98912	2.31953	-0.615555
2010-03-01	1512.82	-0.578331	-0.460581	-7.07608
2010-02-01	1521.62	-0.0722392	0.933302	-6.70345
2010-01-01	1522.72	0.190812	0.633786	-5.09691
2009-12-01	1519.82	0.813903	0.641	-2.34214
2009-11-01	1507.55	-0.368772	-3.12496	-6.49171
2009-10-01	1513.13	0.197995	-3.30943	-8.62852
2009-09-01	1510.14	-2.95853	-6.46913	-6.3868
2009-08-01	1556.18	-0.558495	-0.695561	-2.35672
2009-07-01	1564.92	-3.07632	-0.176693	-1.8268
2009-06-01	1614.59	3.03175	-0.824928	-0.741401
2009-05-01	1567.08	-0.0389108	-3.91612	-5.02545
2009-04-01	1567.69	-3.70573	-2.29417	-8.37259
2009-03-01	1628.02	-0.17965	4.61038	-5.51687
2009-02-01	1630.95	1.64849	1.16238	-2.75061
2009-01-01	1604.5	3.09908	-3.11107	-
2008-12-01	1556.27	-3.46977	-3.52722	-
2008-11-01	1612.21	-2.6455	1.15891	-
2008-10-01	1656.02	2.65626	3.88823	-
2008-09-01	1613.17	1.21914	-0.828697	-
2008-08-01	1593.74	-0.0188201	-3.4097	-
2008-07-01	1594.04	-2.00473	-6.8325	-
2008-06-01	1626.65	-1.41515	-5.59637	-
2008-05-01	1650	-3.56178	-1.61471	-
