Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	1680.45	3.99275	5.04257	25.2068
2023-10-01	1615.93	0.620812	3.05085	22.4264
2023-09-01	1605.96	0.386303	4.30479	22.9029
2023-08-01	1599.78	2.02093	6.25108	22.8927
2023-07-01	1568.09	1.84519	5.60595	22.7449
2023-06-01	1539.68	2.25947	7.67445	21.8015
2023-05-01	1505.66	1.40149	6.89281	20.1778
2023-04-01	1484.85	3.84002	8.18343	23.3367
2023-03-01	1429.94	1.51714	7.67215	18.8704
2023-02-01	1408.57	2.62581	4.94956	16.8676
2023-01-01	1372.53	3.34927	3.98585	13.8972
2022-12-01	1328.05	-1.04982	1.63466	11.3473
2022-11-01	1342.14	1.68344	3.10116	13.2751
2022-10-01	1319.92	1.01248	3.31893	13.5982
2022-09-01	1306.69	0.377947	3.37001	13.0032
2022-08-01	1301.77	1.89821	3.90387	13.0009
2022-07-01	1277.52	1.06242	6.11513	8.45466
2022-06-01	1264.09	0.896349	5.08338	6.54748
2022-05-01	1252.86	4.06678	3.94849	7.35089
2022-04-01	1203.9	0.0798045	-0.0962608	2.75954
2022-03-01	1202.94	-0.193318	0.857711	2.49214
2022-02-01	1205.27	0.0174265	1.72342	2.92656
2022-01-01	1205.06	1.03546	3.71282	4.45901
2021-12-01	1192.71	0.663375	3.14616	3.51139
2021-11-01	1184.85	1.97346	2.85156	1.77637
2021-10-01	1161.92	0.483426	-1.35916	-2.64355
2021-09-01	1156.33	0.375868	-2.53538	-3.41299
2021-08-01	1152	-2.20132	-1.29127	-2.40348
2021-07-01	1177.93	-0.714761	0.542861	-1.11732
2021-06-01	1186.41	1.65714	1.08376	-2.38603
2021-05-01	1167.07	-0.3841	-0.335611	-4.29852
2021-04-01	1171.57	-0.180627	1.55597	-2.41877
2021-03-01	1173.69	0.229718	1.86071	-1.81202
2021-02-01	1171	1.50656	0.586684	-1.88686
2021-01-01	1153.62	0.118898	-3.339	-2.77609
2020-12-01	1152.25	-1.02391	-3.75379	-2.3823
2020-11-01	1164.17	-2.45503	-1.37245	0.554524
2020-10-01	1193.47	-0.310728	0.1872	3.22349
2020-09-01	1197.19	1.42498	-1.49908	2.32131
2020-08-01	1180.37	-0.912495	-3.2079	1.03572
2020-07-01	1191.24	-1.98863	-0.780437	2.16554
2020-06-01	1215.41	-0.334566	1.67817	4.98579
2020-05-01	1219.49	1.57253	2.17592	8.17123
2020-04-01	1200.61	0.440038	1.1841	6.15004
2020-03-01	1195.35	0.153328	1.26909	5.98202
2020-02-01	1193.52	0.58657	3.08961	5.28489
2020-01-01	1186.56	0.524412	2.62584	5.354
2019-12-01	1180.37	1.95379	0.883738	6.89046
2019-11-01	1157.75	0.13406	-0.900477	5.01039
2019-10-01	1156.2	-1.18202	-0.83963	6.00046
2019-09-01	1170.03	0.15065	1.06592	6.30162
2019-08-01	1168.27	0.195542	3.62791	5.95208
2019-07-01	1165.99	0.716945	3.08916	9.62056
2019-06-01	1157.69	2.68945	2.64301	10.3929
2019-05-01	1127.37	-0.325361	-0.550454	9.68021
2019-04-01	1131.05	0.281058	0.425301	12.7723
2019-03-01	1127.88	-0.505465	2.13714	12.4271
2019-02-01	1133.61	0.652602	2.82084	13.0174
2019-01-01	1126.26	1.99044	3.25556	13.7078
2018-12-01	1104.28	0.160543	0.327982	15.2364
2018-11-01	1102.51	1.07816	-0.0117899	13.9753
2018-10-01	1090.75	-0.901269	2.54687	13.9864
2018-09-01	1100.67	-0.178662	4.95566	14.0755
2018-08-01	1102.64	3.6647	7.27427	13.9357
2018-07-01	1063.66	1.42653	6.05314	8.61354
2018-06-01	1048.7	2.02652	4.53444	8.01496
2018-05-01	1027.87	2.48467	2.47547	3.92855
2018-04-01	1002.95	-0.0259168	1.25837	1.07092
2018-03-01	1003.21	0.0169485	4.68926	-0.411968
2018-02-01	1003.04	1.26746	3.69225	0.797505
2018-01-01	990.486	3.36146	3.50858	-0.0771752
2017-12-01	958.274	-0.935571	-0.682689	-1.70601
2017-11-01	967.324	1.08808	-0.0464985	-2.04016
2017-10-01	956.912	-0.823849	-2.28682	-1.74877
2017-09-01	964.861	-0.301	-0.620362	1.67777
2017-08-01	967.774	-1.17767	-2.14779	1.72789
2017-07-01	979.307	0.86756	-1.31167	4.43557
2017-06-01	970.884	-1.83334	-3.62095	3.227
2017-05-01	989.016	-0.333258	-0.611795	4.7134
2017-04-01	992.323	-1.49271	0.108146	6.53209
2017-03-01	1007.36	1.23163	3.32894	6.71254
2017-02-01	995.104	0.388701	0.773087	6.28194
2017-01-01	991.251	1.67657	1.777	5.87483
2016-12-01	974.906	-1.27234	2.73632	3.01335
