Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	1733.63	0.0363531	1.98723	9.17822
2023-10-01	1733	1.89862	2.21656	8.77752
2023-09-01	1700.71	0.0505927	1.7798	7.83165
2023-08-01	1699.85	0.261292	7.03334	8.62841
2023-07-01	1695.42	1.46322	7.64845	9.4469
2023-06-01	1670.97	5.21487	6.36279	8.01218
2023-05-01	1588.15	0.837482	1.88809	6.38305
2023-04-01	1574.96	0.251431	1.70415	7.43174
2023-03-01	1571.01	0.788467	-0.219123	7.37397
2023-02-01	1558.72	0.655443	-1.83703	6.17839
2023-01-01	1548.57	-1.64437	-2.79884	6.91738
2022-12-01	1574.46	-0.845776	-0.173093	6.57758
2022-11-01	1587.89	-0.330789	1.47364	7.17762
2022-10-01	1593.16	1.01256	2.84556	8.18908
2022-09-01	1577.19	0.789862	1.9502	6.27607
2022-08-01	1564.83	1.01673	4.82095	6.49159
2022-07-01	1549.08	0.133159	5.6664	5.98015
2022-06-01	1547.02	3.62794	5.73432	7.33281
2022-05-01	1492.86	1.8315	1.69208	0.439337
2022-04-01	1466.01	0.197523	1.21722	-3.63946
2022-03-01	1463.12	-0.333783	-0.959189	-1.59334
2022-02-01	1468.02	1.356	-0.913233	-0.752459
2022-01-01	1448.38	-1.95696	-1.64271	-3.2782
2021-12-01	1477.29	-0.287537	-0.45551	-0.749106
2021-11-01	1481.55	0.609818	0.824124	-0.351767
2021-10-01	1472.57	-0.773559	0.745722	-0.804306
2021-09-01	1484.05	0.994256	2.96393	-0.241322
2021-08-01	1469.44	0.531584	-1.13636	-1.24864
2021-07-01	1461.67	1.4112	-3.92473	-3.27817
2021-06-01	1441.33	-3.02759	-3.0589	-5.16131
2021-05-01	1486.33	-2.30383	0.485414	-1.15318
2021-04-01	1521.38	2.32511	1.59669	2.8432
2021-03-01	1486.81	0.517865	-0.109511	2.56338
2021-02-01	1479.15	-1.2234	-0.51319	0.781506
2021-01-01	1497.47	0.606675	0.873015	3.787
2020-12-01	1488.44	0.111651	0.0537765	2.01502
2020-11-01	1486.78	0.152912	-0.0833322	1.90125
2020-10-01	1484.51	-0.2104	-1.7668	2.4344
2020-09-01	1487.64	-0.0255373	-2.11414	2.20958
2020-08-01	1488.02	-1.53453	-1.04079	1.87661
2020-07-01	1511.21	-0.563243	2.15572	2.99398
2020-06-01	1519.77	1.07071	4.83703	5.97526
2020-05-01	1503.67	1.64603	2.45217	6.37318
2020-04-01	1479.32	2.0467	2.52906	5.10714
2020-03-01	1449.65	-1.22847	-0.643574	3.68196
2020-02-01	1467.68	1.72231	0.59217	4.81407
2020-01-01	1442.83	-1.111	-0.441614	1.97687
2019-12-01	1459.04	0	0.244593	3.14152
2019-11-01	1459.04	0.676911	-0.107489	4.19184
2019-10-01	1449.23	-0.429412	-1.23017	4.11359
2019-09-01	1455.48	-0.351223	1.49225	5.17234
2019-08-01	1460.61	-0.454583	3.32701	5.18504
2019-07-01	1467.28	2.31507	4.25169	6.93058
2019-06-01	1434.08	1.45022	2.56836	5.75031
2019-05-01	1413.58	0.436253	0.950531	7.04074
2019-04-01	1407.44	0.66301	-0.524433	6.91421
2019-03-01	1398.17	-0.149971	-1.16146	8.77822
2019-02-01	1400.27	-1.0312	-0.00499879	9.29107
2019-01-01	1414.86	0.0183798	1.64443	11.8016
2018-12-01	1414.6	1.01832	2.21837	12.4778
2018-11-01	1400.34	0.601306	0.84473	12.4627
2018-10-01	1391.97	0.583135	1.44223	10.3652
2018-09-01	1383.9	-0.339188	2.05	10.8157
2018-08-01	1388.61	1.19736	5.14993	11.0621
2018-07-01	1372.18	1.18575	4.23573	9.91333
2018-06-01	1356.1	2.68817	5.50516	11.7079
2018-05-01	1320.6	0.317528	3.07283	9.26782
2018-04-01	1316.42	2.41804	4.02288	8.93098
2018-03-01	1285.34	0.320785	2.2001	6.54167
2018-02-01	1281.23	1.24219	2.89682	6.00505
2018-01-01	1265.51	0.623375	0.338556	3.8836
2017-12-01	1257.67	1.00469	0.707863	3.1782
2017-11-01	1245.16	-1.27494	-0.411101	2.12591
2017-10-01	1261.24	0.99373	1.0269	3.2982
2017-09-01	1248.83	-0.117572	2.87157	2.95298
2017-08-01	1250.3	0.15059	3.45113	4.33339
2017-07-01	1248.42	2.8378	3.30412	4.34717
2017-06-01	1213.97	0.445147	0.625819	1.40754
2017-05-01	1208.59	0.00827479	-0.00496422	0.817491
2017-04-01	1208.49	0.171582	-0.797078	1.71276
2017-03-01	1206.42	-0.184503	-1.02631	0.59368
2017-02-01	1208.65	-0.783944	-0.868574	0.720833
2017-01-01	1218.2	-0.0598886	-0.226869	1.69633
2016-12-01	1218.93	-0.0254257	0.488042	-1.49026
2016-11-01	1219.24	-0.141691	1.74153	-2.37723
