Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	1291.99	-2.20421	-0.095884	20.2668
2023-10-01	1321.11	0.611539	3.77926	22.7775
2023-09-01	1313.08	1.53492	5.52337	22.5952
2023-08-01	1293.23	1.58916	5.36423	22.3537
2023-07-01	1273.0	2.30241	6.59231	22.6775
2023-06-01	1244.35	1.38179	8.61804	20.6221
2023-05-01	1227.39	2.77324	8.04014	20.343
2023-04-01	1194.27	4.24661	6.99522	18.2973
2023-03-01	1145.62	0.842393	4.28474	14.363
2023-02-01	1136.05	1.77927	5.75088	13.5789
2023-01-01	1116.19	1.60575	3.7332	12.023
2022-12-01	1098.55	2.26014	2.56566	9.74635
2022-11-01	1074.27	-0.162636	1.63772	8.31376
2022-10-01	1076.02	0.462155	3.69478	8.92963
2022-09-01	1071.07	1.33496	3.82509	8.17152
2022-08-01	1056.96	1.85799	3.63267	6.92965
2022-07-01	1037.68	0.588401	2.78639	5.34309
2022-06-01	1031.61	1.14716	2.98181	4.87529
2022-05-01	1019.91	1.0262	1.96755	4.15471
2022-04-01	1009.55	0.779643	1.32036	3.45435
2022-03-01	1001.74	0.150965	0.0749258	2.70759
2022-02-01	1000.23	0.384988	0.848648	3.39759
2022-01-01	996.394	-0.459145	0.868789	1.9838
2021-12-01	1000.99	0.925275	1.09386	1.83633
2021-11-01	991.813	0.405037	0.33891	1.37464
2021-10-01	987.812	-0.237033	0.280595	0.568503
2021-09-01	990.159	0.17158	0.66131	1.13323
2021-08-01	988.463	0.346684	0.943296	0.148227
2021-07-01	985.048	0.141716	0.943494	-1.4952
2021-06-01	983.654	0.452194	0.853248	-2.55159
2021-05-01	979.226	0.34688	1.22632	-4.78901
2021-04-01	975.841	0.0521874	-0.119855	-3.42893
2021-03-01	975.332	0.823786	-0.774005	-2.57591
2021-02-01	967.363	-0.987603	-1.12443	-2.51619
2021-01-01	977.012	-0.603089	-0.531038	-1.14586
2020-12-01	982.94	0.46772	0.395888	-0.0857912
2020-11-01	978.364	-0.393391	-0.874975	-0.153184
2020-10-01	982.228	0.323166	-1.7772	-0.565692
2020-09-01	979.064	-0.804053	-3.00631	-0.487164
2020-08-01	987.0	-1.3	-4.03314	0.524418
2020-07-01	1000.0	-0.932228	-1.03811	1.15755
2020-06-01	1009.41	-1.85419	0.828073	1.11117
2020-05-01	1028.48	1.78032	3.64273	2.66321
2020-04-01	1010.49	0.935952	2.24144	1.16767
2020-03-01	1001.12	0.885591	1.76218	3.87832
2020-02-01	992.332	0.404214	1.27232	3.10596
2020-01-01	988.337	0.462805	0.0527426	3.52146
2019-12-01	983.784	0.399953	-0.00741978	3.16895
2019-11-01	979.865	-0.804907	-0.202271	3.70994
2019-10-01	987.816	0.402396	-0.0749577	4.88875
2019-09-01	983.857	0.204308	-1.44844	5.43453
2019-08-01	981.851	-0.678362	-1.99132	7.35904
2019-07-01	988.557	-0.977645	-1.02821	10.1139
2019-06-01	998.317	-0.347674	3.58747	13.732
2019-05-01	1001.8	0.297649	4.08971	16.6024
2019-04-01	998.827	3.64039	4.62022	17.4572
2019-03-01	963.743	0.135489	1.06726	14.0724
2019-02-01	962.439	0.808826	1.86555	15.6609
2019-01-01	954.717	0.120705	1.37421	15.7304
2018-12-01	953.566	0.926427	2.18841	15.959
2018-11-01	944.813	0.322582	3.30917	15.6467
2018-10-01	941.775	0.924829	4.90287	15.8237
2018-09-01	933.145	2.03335	6.30739	13.4473
2018-08-01	914.549	1.87021	6.447	12.2304
2018-07-01	897.759	2.27608	5.57213	10.4221
2018-06-01	877.78	2.16735	3.89749	9.5218
