Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	2158.13	-0.610669	1.98476	24.8824
2023-10-01	2171.39	2.52271	4.34258	22.1028
2023-09-01	2117.96	0.0864786	2.58502	20.3174
2023-08-01	2116.13	1.68715	4.24337	18.3055
2023-07-01	2081.02	0.7958	4.09941	17.6129
2023-06-01	2064.59	1.70444	4.59817	16.6798
2023-05-01	2029.99	1.54672	3.05041	18.2055
2023-04-01	1999.07	1.27873	7.09801	23.6482
2023-03-01	1973.83	0.199503	11.4988	23.9975
2023-02-01	1969.9	5.53526	13.9903	23.4583
2023-01-01	1866.58	5.44041	4.96252	17.9603
2022-12-01	1770.27	2.43847	0.565809	12.4616
2022-11-01	1728.13	-2.82287	-3.38626	9.60007
2022-10-01	1778.33	1.02368	0.505827	13.2637
2022-09-01	1760.31	-1.58719	-0.516545	10.7838
2022-08-01	1788.7	1.09191	4.15526	13.3243
2022-07-01	1769.38	-0.00395603	9.44122	12.1906
2022-06-01	1769.45	3.03434	11.1582	11.3079
2022-05-01	1717.34	6.2224	7.62973	8.79914
2022-04-01	1616.74	1.56487	2.17141	3.18673
2022-03-01	1591.83	-0.236275	1.12572	3.84841
2022-02-01	1595.6	0.83545	1.19486	4.25624
2022-01-01	1582.38	0.525376	0.7834	2.98065
2021-12-01	1574.11	-0.168066	-0.934574	0.863754
2021-11-01	1576.76	0.425456	-0.10327	0.118103
2021-10-01	1570.08	-1.1882	-0.446383	-1.32916
2021-09-01	1588.96	0.66967	-0.0459209	-1.00246
2021-08-01	1578.39	0.0805265	-0.0038012	-1.06743
2021-07-01	1577.12	-0.79072	0.658025	-0.671378
2021-06-01	1589.69	0.712091	3.7088	-3.20049
2021-05-01	1578.45	0.742911	3.13566	-4.40068
2021-04-01	1566.81	2.21615	1.96736	-4.92023
2021-03-01	1532.84	0.155509	-1.78069	-6.91783
2021-02-01	1530.46	-0.398287	-2.82177	-6.91029
2021-01-01	1536.58	-1.54104	-3.43445	-7.15416
2020-12-01	1560.63	-0.906089	-2.76751	-5.75792
2020-11-01	1574.9	-1.02625	-1.28618	-5.69969
2020-10-01	1591.23	-0.861032	0.217285	-3.64299
2020-09-01	1605.05	0.603603	-2.26518	-2.15496
2020-08-01	1595.42	0.481175	-3.37288	-2.75683
2020-07-01	1587.78	-3.31679	-3.64769	-2.28565
2020-06-01	1642.25	-0.536609	-0.273871	0.241715
2020-05-01	1651.11	0.195401	0.428206	1.74765
2020-04-01	1647.89	0.0686196	-0.428404	2.06181
2020-03-01	1646.76	0.163618	-0.55677	1.89779
2020-02-01	1644.07	-0.659222	-1.558	4.33969
2020-01-01	1654.98	-0.0603872	0.217393	6.54126
2019-12-01	1655.98	-0.844865	0.949768	5.93797
2019-11-01	1670.09	1.13238	1.79441	5.21312
2019-10-01	1651.39	0.669959	1.629	4.48727
2019-09-01	1640.4	-0.0152379	0.128793	5.70337
2019-08-01	1640.65	0.968048	1.10307	5.78969
2019-07-01	1624.92	-0.816095	0.639168	5.07624
2019-06-01	1638.29	0.957634	1.37369	6.86754
2019-05-01	1622.75	0.504769	2.98663	6.43915
2019-04-01	1614.6	-0.0921978	3.94175	5.46462
2019-03-01	1616.09	2.56396	3.38609	5.31361
2019-02-01	1575.69	1.43688	-0.733932	1.84073
2019-01-01	1553.37	-0.626295	-1.71468	0.595789
2018-12-01	1563.16	-1.5233	0.726211	1.98402
2018-11-01	1587.34	0.434681	2.35224	2.55393
2018-10-01	1580.47	1.84163	2.20186	2.62659
2018-09-01	1551.89	0.0664148	1.23156	2.04163
2018-08-01	1550.86	0.287115	1.72375	3.40928
2018-07-01	1546.42	0.87475	1.01114	4.55495
2018-06-01	1533.01	0.552939	-0.100355	4.96186
2018-05-01	1524.58	-0.415431	-1.46263	5.61837
2018-04-01	1530.94	-0.235248	-0.856771	6.43058
2018-03-01	1534.55	-0.818247	0.117436	4.62318
2018-02-01	1547.21	0.19687	-0.0387644	6.24326
2018-01-01	1544.17	0.745066	0.269477	6.05563
2017-12-01	1532.75	-0.972988	0.78312	5.85509
2017-11-01	1547.81	0.505838	3.20591	9.22068
2017-10-01	1540.02	1.26115	4.12224	8.35444
2017-09-01	1520.84	1.40759	4.12861	7.03658
2017-08-01	1499.73	1.39819	3.89683	5.13207
2017-07-01	1479.05	1.26734	2.8232	2.48832
2017-06-01	1460.54	1.18187	-0.422706	0.439432
2017-05-01	1443.48	0.35038	-0.879632	-0.957844
2017-04-01	1438.44	-1.92945	-1.20604	-0.393319
2017-03-01	1466.74	0.717577	1.2963	1.9589
2017-02-01	1456.29	0.0199176	2.76261	1.97324
2017-01-01	1456.0	0.554569	2.44287	2.18906
2016-12-01	1447.97	2.17551	1.908	0.093321
2016-11-01	1417.14	-0.291287	-0.657544	-1.99517
2016-10-01	1421.28	0.0295596	-1.51475	-1.55636
2016-09-01	1420.86	-0.39677	-2.28931	-2.16686
2016-08-01	1426.52	-1.15166	-2.12153	-2.17187
2016-07-01	1443.14	-0.757143	-0.0678614	-0.407853
2016-06-01	1454.15	-0.225738	1.08372	-1.22471
2016-05-01	1457.44	0.922361	2.05376	-2.92729
2016-04-01	1444.12	0.386498	1.35527	-4.67477
2016-03-01	1438.56	0.731736	-0.557161	-4.79229
2016-02-01	1428.11	0.23161	-1.23652	-5.25251
2016-01-01	1424.81	-1.50765	-1.31186	-4.47262
2015-12-01	1446.62	0.0435688	-0.393161	-1.36704
2015-11-01	1445.99	0.155152	-0.836654	0.207902
2015-10-01	1443.75	-0.590775	-0.365757	0.92625
