id	url	distrito	barrio	price (€)	bedrooms	area (m2)	floor	lift	street type	street	street_number
102942072	https://www.idealista.com/inmueble/102942072/	benalua-la-florida-babel-san-gabriel	benalua	242000	2	71	4	yes	avenida	 catedrático soler	s/n
102946788	https://www.idealista.com/inmueble/102946788/	benalua-la-florida-babel-san-gabriel	benalua	150000	4	126	1	yes			
103122605	https://www.idealista.com/inmueble/103122605/	benalua-la-florida-babel-san-gabriel	benalua	235000	4	120	1	yes			
101050281	https://www.idealista.com/inmueble/101050281/	benalua-la-florida-babel-san-gabriel	benalua	262000	4	151	2	yes	calle	 carlet	3
101550880	https://www.idealista.com/inmueble/101550880/	benalua-la-florida-babel-san-gabriel	benalua	409500	4	124	2	yes	avenida	 catedrático soler	s/n
97050017	https://www.idealista.com/inmueble/97050017/	benalua-la-florida-babel-san-gabriel	benalua	310000	3	97	2	yes	avenida	 catedrático soler	s/n
96323232	https://www.idealista.com/inmueble/96323232/	benalua-la-florida-babel-san-gabriel	benalua	267000	3	112	2	yes	avenida	 catedratico soler	5
96323246	https://www.idealista.com/inmueble/96323246/	benalua-la-florida-babel-san-gabriel	benalua	261000	3	112	1	yes	avenida	 catedratico soler	5
102346765	https://www.idealista.com/inmueble/102346765/	benalua-la-florida-babel-san-gabriel	benalua	495000	3	215	7	yes	avenida	 oscar espla	3
100876479	https://www.idealista.com/inmueble/100876479/	benalua-la-florida-babel-san-gabriel	benalua	290000	3	125	4	yes			
101814385	https://www.idealista.com/inmueble/101814385/	benalua-la-florida-babel-san-gabriel	benalua	181125	3	108	4	yes	calle	 garcía andreu	
102773096	https://www.idealista.com/inmueble/102773096/	benalua-la-florida-babel-san-gabriel	benalua	235000	4	133		yes			
98563004	https://www.idealista.com/inmueble/98563004/	benalua-la-florida-babel-san-gabriel	benalua	145000	2	97	2	no	calle	 arquitecto guardiola	31
102836105	https://www.idealista.com/inmueble/102836105/	benalua-la-florida-babel-san-gabriel	benalua	227000	3	94	3	yes	calle	 capitán dema	
102870087	https://www.idealista.com/inmueble/102870087/	benalua-la-florida-babel-san-gabriel	benalua	432000	4	152	4	yes	avenida	 catedrático soler	25
102870040	https://www.idealista.com/inmueble/102870040/	benalua-la-florida-babel-san-gabriel	benalua	423000	4	152	3	yes	avenida	 catedrático soler	25
102870039	https://www.idealista.com/inmueble/102870039/	benalua-la-florida-babel-san-gabriel	benalua	416000	4	152	2	yes	avenida	 catedrático soler	25
102288183	https://www.idealista.com/inmueble/102288183/	benalua-la-florida-babel-san-gabriel	benalua	290000	3	125	4	yes			29
99345980	https://www.idealista.com/inmueble/99345980/	benalua-la-florida-babel-san-gabriel	benalua	205000	4	158		yes	calle	 santa maria mazzarelo	
102825163	https://www.idealista.com/inmueble/102825163/	benalua-la-florida-babel-san-gabriel	benalua	153900	2	86	3	yes	calle	 arquitecto guardiola	
