id	url	distrito	barrio	price (€)	bedrooms	area (m2)	floor	lift	street type	street	street_number
102454804	https://www.idealista.com/inmueble/102454804/	pla-del-bon-repos-la-goleta-san-anton	san-anton	155000	2	81	2	yes	calle	 de vázquez de mella	
100346423	https://www.idealista.com/inmueble/100346423/	pla-del-bon-repos-la-goleta-san-anton	san-anton	260000	3	114	4	yes	calle	 díaz moreu	
102273818	https://www.idealista.com/inmueble/102273818/	pla-del-bon-repos-la-goleta-san-anton	san-anton	189500	3	108	1	yes			
102658333	https://www.idealista.com/inmueble/102658333/	pla-del-bon-repos-la-goleta-san-anton	san-anton	230000	2	92	1	yes			
103102912	https://www.idealista.com/inmueble/103102912/	pla-del-bon-repos-la-goleta-san-anton	san-anton	169000	3	110	1	no	calle	 díaz moreu	
102418495	https://www.idealista.com/inmueble/102418495/	pla-del-bon-repos-la-goleta-san-anton	san-anton	275000	3	168			calle	 de trafalgar	
103194077	https://www.idealista.com/inmueble/103194077/	pla-del-bon-repos-la-goleta-san-anton	san-anton	78000	2	65	5	no	calle	 sevilla	
103206746	https://www.idealista.com/inmueble/103206746/	pla-del-bon-repos-la-goleta-san-anton	san-anton	199000	3	110			calle	 de trafalgar	
101980500	https://www.idealista.com/inmueble/101980500/	pla-del-bon-repos-la-goleta-san-anton	san-anton	160000	2	85	3	no			
99580099	https://www.idealista.com/inmueble/99580099/	pla-del-bon-repos-la-goleta-san-anton	san-anton	260000	3	85	5	yes	calle	 díaz moreu	1
102100752	https://www.idealista.com/inmueble/102100752/	pla-del-bon-repos-la-goleta-san-anton	san-anton	180000	2	65	3	yes			
102929832	https://www.idealista.com/inmueble/102929832/	pla-del-bon-repos-la-goleta-san-anton	san-anton	323000	3	123		no	calle	 de trafalgar	
98904382	https://www.idealista.com/inmueble/98904382/	pla-del-bon-repos-la-goleta-san-anton	san-anton	323000	3	123	0	no	calle	 de trafalgar	555
102861987	https://www.idealista.com/inmueble/102861987/	pla-del-bon-repos-la-goleta-san-anton	san-anton	249000	3	200	2	no	calle	 del pozo	90
103317410	https://www.idealista.com/inmueble/103317410/	pla-del-bon-repos-la-goleta-san-anton	san-anton	200000	3	140	0	no	calle	 l'horta	99
103025618	https://www.idealista.com/inmueble/103025618/	pla-del-bon-repos-la-goleta-san-anton	san-anton	189900	3	114			calle	 nueva alta	43
102363050	https://www.idealista.com/inmueble/102363050/	pla-del-bon-repos-la-goleta-san-anton	san-anton	210000	2	108	3	yes			
99912152	https://www.idealista.com/inmueble/99912152/	pla-del-bon-repos-la-goleta-san-anton	san-anton	259000	2	129			calle	 pozo	
102695820	https://www.idealista.com/inmueble/102695820/	pla-del-bon-repos-la-goleta-san-anton	san-anton	210000	2	108	3	yes			
102852743	https://www.idealista.com/inmueble/102852743/	pla-del-bon-repos-la-goleta-san-anton	san-anton	260000	3	130	3	no	calle	 nueva alta	
97314819	https://www.idealista.com/inmueble/97314819/	pla-del-bon-repos-la-goleta-san-anton	san-anton	630000	3	268					
99949976	https://www.idealista.com/inmueble/99949976/	pla-del-bon-repos-la-goleta-san-anton	san-anton	94000	1	75	0	no			
102022777	https://www.idealista.com/inmueble/102022777/	pla-del-bon-repos-la-goleta-san-anton	san-anton	155000	2	60	1	no			
103172943	https://www.idealista.com/inmueble/103172943/	pla-del-bon-repos-la-goleta-san-anton	san-anton	210000	2	98	3	yes			
101971965	https://www.idealista.com/inmueble/101971965/	pla-del-bon-repos-la-goleta-san-anton	san-anton	245000	3	110	0	yes			
