Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	1145.34	-1.27145	-2.18377	5.85593
2023-10-01	1160.09	-0.0112048	-1.23111	7.36305
2023-09-01	1160.22	-0.912965	-2.09692	6.39925
2023-08-01	1170.91	-0.309906	0.851837	8.90768
2023-07-01	1174.55	-0.887711	2.05137	8.53956
2023-06-01	1185.07	2.07145	6.87957	8.38691
2023-05-01	1161.02	0.875806	4.52765	6.58404
2023-04-01	1150.94	3.80144	5.43123	7.73364
2023-03-01	1108.79	-0.17466	1.47714	5.79956
2023-02-01	1110.73	1.74781	2.65717	10.0855
2023-01-01	1091.65	-0.0915206	1.02912	10.2322
2022-12-01	1092.65	0.986155	0.20267	12.1583
2022-11-01	1081.98	0.134193	0.636196	12.9465
2022-10-01	1080.53	-0.908807	-0.148779	13.4094
2022-09-01	1090.44	1.42307	-0.267979	14.0751
2022-08-01	1075.14	-0.646866	-1.29992	11.8072
2022-07-01	1082.14	-1.0271	1.29362	14.0806
2022-06-01	1093.37	0.373634	4.3282	15.6248
2022-05-01	1089.3	1.96383	7.96158	16.3547
2022-04-01	1068.32	1.93796	7.87635	13.5958
2022-03-01	1048.01	3.86929	7.57614	11.0826
2022-02-01	1008.97	1.88333	5.32508	5.41102
2022-01-01	990.319	1.65428	3.94114	0.96302
2021-12-01	974.203	1.69579	1.91506	-3.01323
2021-11-01	957.958	0.544623	-0.378951	-4.2693
2021-10-01	952.769	-0.327232	0.442137	-2.99733
2021-09-01	955.897	-0.593281	1.08691	-2.22113
2021-08-01	961.602	1.37332	2.71452	-2.17402
2021-07-01	948.575	0.312599	0.863197	-3.32964
2021-06-01	945.619	1.00728	0.229795	-5.0975
2021-05-01	936.189	-0.453822	-2.1927	-5.43202
2021-04-01	940.457	-0.317346	-4.12041	-8.11722
2021-03-01	943.451	-1.43401	-6.07475	-9.58003
2021-02-01	957.177	-2.41581	-4.34734	-9.14055
2021-01-01	980.873	-2.3492	-0.13602	-7.35031
2020-12-01	1004.47	0.378742	2.74741	-3.7403
2020-11-01	1000.68	1.88056	1.80148	-2.69166
2020-10-01	982.209	0.47033	0.0980385	-1.16822
2020-09-01	977.611	-0.545387	-1.88677	-1.49797
2020-08-01	982.972	0.175797	-0.706288	-0.413049
2020-07-01	981.247	-1.52186	-4.13203	-0.82223
2020-06-01	996.411	0.651236	-4.50437	0.293206
2020-05-01	989.964	-3.28038	-6.02827	0.250027
2020-04-01	1023.54	-1.90433	-3.32014	6.33685
2020-03-01	1043.41	-0.954939	-0.00862482	11.1242
2020-02-01	1053.47	-0.493062	2.44175	10.445
2020-01-01	1058.69	1.45568	6.52745	13.1461
2019-12-01	1043.5	1.47225	5.14087	10.5902
2019-11-01	1028.36	3.47558	4.1853	8.89537
2019-10-01	993.819	0.135116	0.448462	4.51066
2019-09-01	992.478	0.550023	-0.102668	5.33679
2019-08-01	987.049	-0.235804	-0.0451648	5.4978
2019-07-01	989.382	-0.414294	2.78813	6.58263
2019-06-01	993.498	0.607902	5.80857	8.7984
2019-05-01	987.495	2.59209	3.52826	9.08497
2019-04-01	962.545	2.51204	2.87073	7.59477
2019-03-01	938.958	-1.56032	-0.489204	3.97273
2019-02-01	953.841	1.94051	1.00439	6.36501
2019-01-01	935.684	-0.836182	-1.60286	4.35739
2018-12-01	943.574	-0.0828078	0.14636	6.60167
2018-11-01	944.356	-0.690906	0.934683	8.8871
2018-10-01	950.926	0.926666	2.4399	8.86027
2018-09-01	942.195	0.703711	3.18018	7.71525
2018-08-01	935.611	0.790066	3.35354	8.09552
2018-07-01	928.277	1.65602	3.76424	6.93672
2018-06-01	913.155	0.872905	1.11551	6.09976
2018-05-01	905.253	1.19059	0.946851	5.77301
2018-04-01	894.602	-0.938897	-0.224511	2.44688
2018-03-01	903.081	0.704646	2.02691	1.19439
2018-02-01	896.762	0.016395	3.39936	1.4221
2018-01-01	896.615	1.29641	2.64284	3.1251
2017-12-01	885.14	2.05931	1.19251	2.28292
2017-11-01	867.28	-0.715374	0.200915	-1.16321
2017-10-01	873.529	-0.134902	0.629794	0.15157
2017-09-01	874.709	1.05922	1.63271	2.06425
2017-08-01	865.541	-0.290417	1.13292	1.24198
2017-07-01	868.062	0.860389	-0.592395	1.69042
2017-06-01	860.657	0.562251	-3.55941	0.624095
2017-05-01	855.845	-1.99145	-3.20554	-0.0195091
2017-04-01	873.235	-2.14999	0.436026	2.09346
2017-03-01	892.422	0.93125	3.12439	1.38567
