Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
2023-11-01	2699.88	0.513011	4.07491	9.93221
2023-10-01	2686.1	2.15056	4.01806	10.9028
2023-09-01	2629.55	1.36383	2.4	9.81533
2023-08-01	2594.17	0.458112	1.38902	10.1329
2023-07-01	2582.34	0.561544	1.94386	12.1309
2023-06-01	2567.92	0.363085	2.2367	12.4254
2023-05-01	2558.63	1.00786	1.74531	14.3762
2023-04-01	2533.1	0.850406	1.14437	16.0588
2023-03-01	2511.74	-0.119297	0.680223	15.2322
2023-02-01	2514.74	0.41127	2.39378	16.1913
2023-01-01	2504.44	0.387611	3.40252	16.5132
2022-12-01	2494.77	1.58065	4.18664	16.5296
2022-11-01	2455.95	1.40048	4.26493	14.6943
2022-10-01	2422.03	1.14887	5.16985	13.3639
2022-09-01	2394.52	1.65698	4.83383	13.169
2022-08-01	2355.49	2.28053	5.29541	11.4962
2022-07-01	2302.97	0.825705	5.51498	9.04627
2022-06-01	2284.11	2.10458	4.78915	8.45057
2022-05-01	2237.03	2.49381	3.35996	7.97415
2022-04-01	2182.6	0.132127	1.54037	5.67956
2022-03-01	2179.72	0.712005	1.81373	5.52274
2022-02-01	2164.31	0.689466	1.07458	4.92149
2022-01-01	2149.49	0.401702	0.607533	3.66982
2021-12-01	2140.89	-0.0191472	1.18201	3.14063
2021-11-01	2141.3	0.224197	1.35756	3.93248
2021-10-01	2136.51	0.975008	1.16434	4.21746
2021-09-01	2115.88	0.154311	0.462934	3.27109
2021-08-01	2112.62	0.0331452	1.96928	3.02398
2021-07-01	2111.92	0.274912	2.2573	3.11606
2021-06-01	2106.13	1.65603	1.96017	2.28202
2021-05-01	2071.82	0.315693	0.437757	0.465518
2021-04-01	2065.3	-0.0164598	-0.390663	-0.340194
2021-03-01	2065.64	0.138162	-0.484656	-0.275184
2021-02-01	2062.79	-0.51172	0.121828	-0.568787
2021-01-01	2073.4	-0.110806	1.139	-0.0409787
2020-12-01	2075.7	0.748442	1.31	0.220652
2020-11-01	2060.28	0.499012	0.471567	-0.442632
2020-10-01	2050.05	0.0580811	0.0952102	-1.35881
2020-09-01	2048.86	-0.0853405	-0.499238	-0.807537
2020-08-01	2050.61	0.122553	-0.562986	0.0986044
2020-07-01	2048.1	-0.536146	-1.17017	0.200097
2020-06-01	2059.14	-0.149354	-0.588991	1.2559
2020-05-01	2062.22	-0.488817	-0.596262	2.48991
